,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,EverSmoker,NonWhite,Poverty,LC
1524,MO,Henry County,"21,792","4,795","4,738",403,"1,583","1,664","1,977","7,639","1,459","3,606",15
1525,MO,Hickory County,"9,509","1,633","3,117",137,722,864,"1,124","3,646",529,"1,677",6
1526,MO,Holt County,"4,404",913,"1,106",76,324,357,439,"1,587",192,572,3
1527,MO,Howard County,"10,137","2,199","1,953",184,738,738,844,"3,520",977,"1,233",7
1528,MO,Howell County,"40,076","9,540","7,952",802,"2,840","2,899","3,374","13,614","2,382","8,371",27
1529,MO,Iron County,"10,177","2,131","2,177",179,752,786,929,"3,615",583,"1,966",7
1530,MO,Jackson County,"700,307","164,979","104,655","13,879","50,226","47,231","51,219","234,542","264,030","89,787",482
1531,MO,Jasper County,"120,636","30,127","18,863","2,534","8,455","8,042","8,823","39,705","19,533","19,498",83
1532,MO,Jefferson County,"224,347","51,958","33,636","4,371","16,321","15,620","17,152","76,092","12,885","19,327",155
1533,MO,Johnson County,"53,652","11,436","6,790",962,"3,925","3,420","3,460","18,114","7,697","7,032",37
1534,MO,Knox County,"3,947",917,871,77,282,301,361,"1,367",145,640,2
1535,MO,Laclede County,"35,713","8,827","6,373",742,"2,522","2,525","2,887","11,963","2,366","5,403",24
1536,MO,Lafayette County,"32,598","7,471","6,150",628,"2,357","2,386","2,753","11,212","2,620","3,516",22
1537,MO,Lawrence County,"38,359","9,667","7,018",813,"2,684","2,705","3,111","12,775","4,284","5,831",26
1538,MO,Lewis County,"9,855","2,173","1,822",182,716,710,808,"3,403",741,"1,405",6
1539,MO,Lincoln County,"57,686","14,658","7,740","1,233","4,076","3,816","4,108","18,895","4,056","6,055",39
1540,MO,Linn County,"12,037","2,834","2,543",238,856,894,"1,058","4,127",636,"1,976",8
1541,MO,Livingston County,"15,146","3,168","2,915",266,"1,113","1,105","1,259","5,300","1,222","2,045",10
1542,MO,McDonald County,"23,078","5,951","3,527",500,"1,616","1,563","1,734","7,571","5,310","4,083",15
1543,MO,Macon County,"15,153","3,470","3,447",291,"1,083","1,154","1,388","5,261",981,"2,064",10
1544,MO,Madison County,"12,188","2,820","2,330",237,877,892,"1,033","4,183",663,"1,982",8
1545,MO,Maries County,"8,769","1,780","1,883",149,654,684,810,"3,143",413,"1,205",6
1546,MO,Marion County,"28,592","6,649","5,168",559,"2,049","2,031","2,307","9,724","2,800","3,686",19
1547,MO,Mercer County,"3,641",867,803,72,258,276,331,"1,252",202,439,2
1548,MO,Miller County,"25,336","5,918","4,878",497,"1,815","1,844","2,134","8,661","1,343","4,204",17
1549,MO,Mississippi County,"13,336","2,804","2,372",235,984,961,"1,079","4,651","3,814","3,069",9
1550,MO,Moniteau County,"16,121","3,933","2,543",330,"1,141","1,091","1,201","5,358","1,740","1,723",11
1551,MO,Monroe County,"8,664","1,895","2,023",159,630,679,823,"3,062",630,"1,158",6
1552,MO,Montgomery County,"11,534","2,530","2,442",212,842,881,"1,043","4,047",708,"1,591",7
1553,MO,Morgan County,"20,358","4,657","4,772",391,"1,458","1,580","1,920","7,106","1,218","3,250",14
1554,MO,New Madrid County,"17,296","4,008","3,313",337,"1,245","1,268","1,469","5,936","3,483","3,089",11
1555,MO,Newton County,"58,266","13,796","10,553","1,160","4,169","4,171","4,768","19,779","8,347","9,144",40
1556,MO,Nodaway County,"22,304","3,537","3,404",297,"1,729","1,530","1,577","8,056","1,677","3,715",15
1557,MO,Oregon County,"10,541","2,378","2,458",200,760,823,999,"3,697",637,"2,468",7
1558,MO,Osage County,"13,714","3,171","2,390",266,992,984,"1,115","4,685",374,"1,222",9
1559,MO,Ozark County,"9,017","1,693","2,600",142,676,778,984,"3,362",433,"1,962",6
1560,MO,Pemiscot County,"16,272","4,183","2,781",351,"1,133","1,121","1,271","5,362","5,074","4,664",11
1561,MO,Perry County,"19,150","4,470","3,472",376,"1,377","1,377","1,574","6,530",945,"2,040",13
1562,MO,Pettis County,"42,542","10,466","7,123",880,"3,001","2,924","3,273","14,162","6,594","6,885",29
1563,MO,Phelps County,"44,732","9,324","7,352",784,"3,294","3,104","3,382","15,476","5,091","7,517",31
1564,MO,Pike County,"18,504","4,072","3,212",342,"1,351","1,319","1,479","6,377","2,242","2,557",12
1565,MO,Platte County,"102,985","24,501","14,969","2,061","7,393","6,957","7,539","34,439","19,886","5,925",71
1566,MO,Polk County,"32,201","7,343","5,808",617,"2,314","2,273","2,565","10,978","2,106","4,965",22
1567,MO,Pulaski County,"52,014","11,371","4,674",956,"3,766","3,000","2,744","17,080","16,001","6,350",36
1568,MO,Putnam County,"4,757","1,055","1,167",88,342,374,458,"1,677",201,675,3
1569,MO,Ralls County,"10,212","2,153","2,222",181,753,793,943,"3,628",465,923,7
1570,MO,Randolph County,"24,763","5,379","4,157",452,"1,815","1,751","1,943","8,540","2,761","3,960",17
1571,MO,Ray County,"22,883","5,143","4,244",432,"1,669","1,687","1,941","7,921","1,425","2,220",15
1572,MO,Reynolds County,"6,254","1,221","1,449",102,470,502,604,"2,274",414,"1,240",4
1573,MO,Ripley County,"13,401","3,075","2,734",258,964,997,"1,171","4,626",662,"3,116",9
