,Unnamed: 0,State,County,TotalPop,UnderEighteen,SixtyFivePlus,PedAshtma,AAshthma,COPD,HeartDisease,EverSmoker,NonWhite,Poverty,LC
605,605,IL,Christian County,32661.0,"6,610","6,511",396.0,2256.0,"1,884","2,431","10,255",1662.0,3882.0,20
606,606,IL,Clark County,15596.0,"3,540","3,097",212.0,1043.0,883,"1,144","4,765",562.0,1702.0,9
607,607,IL,Clay County,13253.0,"3,040","2,693",182.0,883.0,753,977,"4,042",547.0,1865.0,8
608,608,IL,Clinton County,37639.0,"7,952","6,483",477.0,2581.0,"2,044","2,597","11,533",3253.0,2924.0,23
609,609,IL,Coles County,50885.0,"9,202","8,609",552.0,3631.0,"2,723","3,390","15,876",4724.0,9554.0,32
610,610,IL,Cook County,5180493.0,"1,129,672","758,167",67834.0,353721.0,"259,527","321,076","1,538,652",3000419.0,701869.0,"3,271"
611,611,IL,Crawford County,18807.0,"3,741","3,557",224.0,1307.0,"1,059","1,355","5,879",1733.0,2052.0,11
612,612,IL,Cumberland County,10808.0,"2,396","2,117",143.0,728.0,613,793,"3,322",364.0,1248.0,6
613,613,IL,DeKalb County,104143.0,"22,292","13,172",1338.0,7171.0,"4,888","5,877","30,433",24728.0,12877.0,65
614,614,IL,De Witt County,15769.0,"3,368","3,031",202.0,1075.0,896,"1,157","4,888",884.0,1707.0,9
615,615,IL,Douglas County,19479.0,"4,848","3,524",291.0,1269.0,"1,035","1,327","5,718",1883.0,1764.0,12
616,616,IL,DuPage County,928589.0,"210,552","143,938",12643.0,62583.0,"48,072","60,484","276,877",312483.0,60169.0,587
617,617,IL,Edgar County,17360.0,"3,540","3,777",212.0,1193.0,"1,037","1,354","5,500",574.0,2297.0,10
618,618,IL,Edwards County,6392.0,"1,433","1,375",86.0,428.0,374,489,"1,977",240.0,701.0,4
619,619,IL,Effingham County,34208.0,"8,104","6,043",486.0,2266.0,"1,828","2,335","10,181",1520.0,3277.0,21
620,620,IL,Fayette County,21416.0,"4,517","4,066",271.0,1465.0,"1,194","1,529","6,600",1678.0,2924.0,13
621,621,IL,Ford County,13264.0,"3,037","2,487",182.0,886.0,733,944,"4,018",865.0,1248.0,8
622,622,IL,Franklin County,38701.0,"8,612","7,932",517.0,2602.0,"2,217","2,877","11,903",1667.0,7358.0,24
623,623,IL,Fulton County,34844.0,"6,892","7,187",413.0,2419.0,"2,030","2,622","11,004",2911.0,4559.0,22
624,624,IL,Gallatin County,5058.0,"1,054","1,178",63.0,345.0,308,405,"1,603",234.0,1029.0,3
